code_iris,revenu_median,taux_pauvrete,code_arrondissement,annee
751093503,43620.0,11.0,75109,2021
751093504,42600.0,15.0,75109,2021
751093601,42330.0,15.0,75109,2021
751093602,39050.0,14.0,75109,2021
751093603,35270.0,15.0,75109,2021
751093604,41530.0,11.0,75109,2021
751093605,41840.0,9.0,75109,2021
751093606,44380.0,10.0,75109,2021
751093607,38710.0,17.0,75109,2021
751093608,41320.0,14.0,75109,2021
751093609,41260.0,13.0,75109,2021
751093610,38390.0,15.0,75109,2021
751103701,35180.0,15.0,75110,2021
751103702,28920.0,22.0,75110,2021
751103703,31310.0,21.0,75110,2021
751103704,42600.0,13.0,75110,2021
751103705,44620.0,12.0,75110,2021
751103706,34680.0,17.0,75110,2021
751103707,29940.0,21.0,75110,2021
751103708,31690.0,21.0,75110,2021
751103709,27540.0,26.0,75110,2021
751103801,35100.0,19.0,75110,2021
751103802,24050.0,33.0,75110,2021
751103803,36870.0,19.0,75110,2021
751103804,36010.0,17.0,75110,2021
751103805,33010.0,15.0,75110,2021
751103806,39650.0,16.0,75110,2021
751103901,31660.0,23.0,75110,2021
751103902,38360.0,13.0,75110,2021
751103903,38920.0,11.0,75110,2021
751103904,36430.0,18.0,75110,2021
751103905,33580.0,21.0,75110,2021
751103906,33950.0,16.0,75110,2021
751103907,32900.0,19.0,75110,2021
751103908,32250.0,18.0,75110,2021
751103909,30910.0,20.0,75110,2021
751103910,37970.0,15.0,75110,2021
751104001,21850.0,32.0,75110,2021
751104002,22650.0,30.0,75110,2021
751104003,29430.0,24.0,75110,2021
751104004,24660.0,29.0,75110,2021
751104005,19630.0,35.0,75110,2021
751104006,27960.0,20.0,75110,2021
751104007,25640.0,27.0,75110,2021
751104008,27310.0,23.0,75110,2021
751104009,33030.0,17.0,75110,2021
751104010,23050.0,29.0,75110,2021
751104011,25470.0,27.0,75110,2021
751114101,26400.0,27.0,75111,2021
751114102,25030.0,28.0,75111,2021
751114103,32550.0,19.0,75111,2021
751114104,37150.0,13.0,75111,2021
751114105,39530.0,15.0,75111,2021
751114106,37380.0,15.0,75111,2021
751114107,39070.0,13.0,75111,2021
751114108,33720.0,14.0,75111,2021
751114109,25570.0,27.0,75111,2021
