CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
01004,"55,5",19690,11970,27930,"27,6",6250,37790,6,20510,14940,27310,"17,5",11080,35230,"3,2","70,1","25,6","7,7","-15,7","12,3",0,13438.0,1264.0,458.0,0.0,3513,1340,391,290,0,2023
01031,"53,2",18610,11450,26380,"29,5",6250,36550,"5,8",19570,14690,25960,"19,8",10820,34350,"3,2","66,5","31,7","7,6","-14,9","9,1",0,3390.0,252.0,166.0,0.0,765,293,91,54,0,2023
01034,"52,5",19090,11970,26610,"28,5",6560,36770,"5,6",20030,14750,26370,"17,2",10990,34620,"3,1","64,7","33,7","7,9","-15,1","8,8",0,8650.0,502.0,270.0,0.0,1893,677,163,270,0,2023
01053,"51,9",18050,10300,26540,"33,2",4590,37070,"8,1",19290,13730,26180,"22,3",10170,34790,"3,4",64,"33,8",9,"-15,8",9,0,40593.0,5386.0,2316.0,0.0,10766,3986,1432,1161,0,2023
01160,"44,6",25530,9490,49240,"30,7",80,74570,980,26770,14150,47650,"22,3",7560,70080,"9,3","82,7","21,8","2,6","-16,1",9,0,8378.0,479.0,115.0,0.0,1125,340,187,63,0,2023
01262,62,22430,15200,31330,"18,8",8370,41400,"4,9",22780,16960,29700,"11,8",12550,38580,"3,1","79,4","23,3","5,8","-16,2","7,7",0,6589.0,308.0,149.0,0.0,1342,484,106,72,0,2023
01283,"46,2",15910,9070,23330,"39,2",4760,32600,"6,9",17510,12740,23250,"27,4",9600,31000,"3,2","67,8","28,1","9,8","-14,1","8,4",0,23657.0,2452.0,1135.0,0.0,5014,1758,578,481,0,2023
01354,"43,7",27200,10910,51380,"28,4",0,76580,,29370,15600,50710,"19,2",7990,74580,"9,3","89,2","16,2","2,3","-13,6","5,9",0,10722.0,480.0,122.0,0.0,1279,365,157,71,0,2023
02168,"48,7",16760,9180,24800,"36,8",3830,35230,"9,2",18310,13170,24500,"24,9",9750,32860,"3,4","66,8","29,8",11,"-15,1","7,5",0,14247.0,2381.0,504.0,0.0,3952,1492,775,412,0,2023
02173,"42,2",16350,8500,23950,"39,1",2060,33330,"16,2",17730,12740,23920,"27,5",9470,31330,"3,3","61,4","33,9","12,2","-13,4","5,9",0,11836.0,2150.0,689.0,0.0,3040,1042,737,366,0,2023
