CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
61006,"38,4",17600,10290.0,24230.0,"32,5",3440.0,31410.0,"9,1",18410,13320.0,23670.0,"23,4",9980.0,29880.0,3,"56,1",41,"9,7","-13,8",7,0,11898.0,1834.0,397.0,0.0,3452.0,1236.0,718.0,421.0,0.0,2022
61169,"34,4",16700,9670.0,23140.0,35,3460.0,32090.0,"9,3",17750,12920.0,23050.0,"25,6",9800.0,30460.0,"3,1","59,5","36,7",10,"-14,5","8,30000000000001",0,13357.0,1928.0,522.0,0.0,3878.0,1325.0,771.0,428.0,0.0,2022
61214,36,16690,9690.0,24170.0,36,3140.0,33720.0,"10,7",17720,12830.0,23800.0,"25,9",9330.0,31900.0,"3,4","56,1","39,3","9,7","-14,9","9,8",0,6801.0,1028.0,257.0,0.0,2197.0,737.0,460.0,293.0,0.0,2022
62004,"48,5",20470,13230.0,27870.0,"24,3",6090.0,36480.0,6,20640,14990.0,26510.0,"16,5",11140.0,33490.0,3,"68,6","33,5","7,3","-16,5","7,10000000000001",0,6866.0,820.0,182.0,0.0,1725.0,658.0,260.0,155.0,0.0,2022
6200462041,"44,9",18760,10010.0,28040.0,"32,8",3100.0,39730.0,"12,8",19210,13320.0,26510.0,"23,7",9910.0,36110.0,"3,6","72,9","28,3","9,4","-17,7","7,09999999999999",0,45357.0,8941.0,1921.0,0.0,14139.0,4977.0,2781.0,1282.0,0.0,2022
62014,"39,4",18820,11840.0,25710.0,"28,6",5610.0,35060.0,"6,2",19260,14210.0,24950.0,19,10930.0,32610.0,3,"69,2","30,2","8,4","-15,5","7,69999999999999",0,8774.0,973.0,244.0,0.0,2239.0,806.0,353.0,278.0,0.0,2022
62032,41,18620,11810.0,26110.0,"29,1",6100.0,36400.0,6,19370,14130.0,25210.0,"18,5",11130.0,33290.0,3,"72,1","30,5","8,2","-15,9","5,10000000000001",0,4133.0,532.0,101.0,0.0,965.0,361.0,167.0,62.0,0.0,2022
620406252562765,"36,1",16490,9140.0,23980.0,"37,2",2630.0,33220.0,"12,6",17530,12880.0,23470.0,"26,1",9870.0,31180.0,"3,2","65,6","30,3","11,2","-15,2","8,10000000000001",0,32681.0,5697.0,1287.0,0.0,9271.0,3444.0,2016.0,842.0,0.0,2022
62041,"44,2",18300,9320.0,28110.0,"34,5",2610.0,40400.0,"15,5",18870,13020.0,26510.0,"25,1",9720.0,36620.0,"3,8","73,7","27,2","9,9",-18,"7,19999999999999",0,38491.0,8121.0,1739.0,0.0,12414.0,4319.0,2521.0,1127.0,0.0,2022
62048,"27,5",14280,7140.0,20750.0,"45,3",500.0,27690.0,"55,2",15830,12080.0,20920.0,"31,5",9400.0,26340.0,"2,8","59,6","32,4","15,7",-12,"4,3",0,9281.0,2095.0,348.0,0.0,2739.0,1041.0,725.0,287.0,0.0,2022
6204862188,"29,3",15270,8310.0,21670.0,"41,1",1540.0,28340.0,"18,4",16490,12580.0,21530.0,"28,1",9650.0,26860.0,"2,8","62,3",32,"13,6","-12,2","4,30000000000001",0,11825.0,2274.0,419.0,0.0,3265.0,1250.0,791.0,329.0,0.0,2022
620486219462555,"26,6",14330,7790.0,20630.0,"44,7",1580.0,27250.0,"17,2",15870,12210.0,20760.0,"31,2",9490.0,26210.0,"2,8","61,1","32,1",15,"-11,7","3,50000000000001",0,19146.0,3994.0,767.0,0.0,5785.0,2156.0,1390.0,622.0,0.0,2022
