COD_VAR,LIB_VAR,COD_MOD,LIB_MOD,TYPE_VAR,LONG_VAR,annee
CODGEO,Code de la commune,09225,Pamiers,CHAR,30,2024
CODGEO,Code de la commune,09261,Saint-Girons,CHAR,30,2024
CODGEO,Code de la commune,100811026510387,"La Chapelle-Saint-Luc, Les Noës-près-Troyes, Troyes",CHAR,30,2024
CODGEO,Code de la commune,10297,Pont-Sainte-Marie,CHAR,30,2024
CODGEO,Code de la commune,10323,Romilly-sur-Seine,CHAR,30,2024
CODGEO,Code de la commune,10333,Saint-André-les-Vergers,CHAR,30,2024
CODGEO,Code de la commune,10387,Troyes,CHAR,30,2024
CODGEO,Code de la commune,11069,Carcassonne,CHAR,30,2024
CODGEO,Code de la commune,11203,Lézignan-Corbières,CHAR,30,2024
CODGEO,Code de la commune,11206,Limoux,CHAR,30,2024
CODGEO,Code de la commune,11262,Narbonne,CHAR,30,2024
CODGEO,Code de la commune,12176,Onet-le-Château,CHAR,30,2024
CODGEO,Code de la commune,12300,Villefranche-de-Rouergue,CHAR,30,2024
CODGEO,Code de la commune,13001,Aix-en-Provence,CHAR,30,2024
CODGEO,Code de la commune,13004,Arles,CHAR,30,2024
CODGEO,Code de la commune,13005,Aubagne,CHAR,30,2024
CODGEO,Code de la commune,13014,Berre-l'Étang,CHAR,30,2024
CODGEO,Code de la commune,13027,Châteaurenard,CHAR,30,2024
CODGEO,Code de la commune,13041,Gardanne,CHAR,30,2024
CODGEO,Code de la commune,13047,Istres,CHAR,30,2024
CODGEO,Code de la commune,13054,Marignane,CHAR,30,2024
CODGEO,Code de la commune,13055,Marseille,CHAR,30,2024
CODGEO,Code de la commune,1305513070,"Marseille, La Penne-sur-Huveaune",CHAR,30,2024
CODGEO,Code de la commune,13056,Martigues,CHAR,30,2024
CODGEO,Code de la commune,13063,Miramas,CHAR,30,2024
CODGEO,Code de la commune,13067,Orgon,CHAR,30,2024
CODGEO,Code de la commune,13077,Port-de-Bouc,CHAR,30,2024
CODGEO,Code de la commune,13103,Salon-de-Provence,CHAR,30,2024
CODGEO,Code de la commune,13106,Septèmes-les-Vallons,CHAR,30,2024
CODGEO,Code de la commune,13108,Tarascon,CHAR,30,2024
CODGEO,Code de la commune,13117,Vitrolles,CHAR,30,2024
CODGEO,Code de la commune,14118,Caen,CHAR,30,2024
CODGEO,Code de la commune,1411814271,"Caen, Fleury-sur-Orne",CHAR,30,2024
CODGEO,Code de la commune,1411814341,"Caen, Ifs",CHAR,30,2024
CODGEO,Code de la commune,14167,Colombelles,CHAR,30,2024
CODGEO,Code de la commune,14327,Hérouville-Saint-Clair,CHAR,30,2024
CODGEO,Code de la commune,14333,Honfleur,CHAR,30,2024
CODGEO,Code de la commune,14366,Lisieux,CHAR,30,2024
CODGEO,Code de la commune,15014,Aurillac,CHAR,30,2024
CODGEO,Code de la commune,16015,Angoulême,CHAR,30,2024
CODGEO,Code de la commune,16102,Cognac,CHAR,30,2024
CODGEO,Code de la commune,16113,La Couronne,CHAR,30,2024
CODGEO,Code de la commune,16374,Soyaux,CHAR,30,2024
CODGEO,Code de la commune,17299,Rochefort,CHAR,30,2024
CODGEO,Code de la commune,17300,La Rochelle,CHAR,30,2024
CODGEO,Code de la commune,17306,Royan,CHAR,30,2024
CODGEO,Code de la commune,17415,Saintes,CHAR,30,2024
CODGEO,Code de la commune,18033,Bourges,CHAR,30,2024
CODGEO,Code de la commune,18197,Saint-Amand-Montrond,CHAR,30,2024
CODGEO,Code de la commune,18279,Vierzon,CHAR,30,2024
CODGEO,Code de la commune,19031,Brive-la-Gaillarde,CHAR,30,2024
CODGEO,Code de la commune,21054,Beaune,CHAR,30,2024
CODGEO,Code de la commune,21166,Chenôve,CHAR,30,2024
CODGEO,Code de la commune,21231,Dijon,CHAR,30,2024
CODGEO,Code de la commune,21355,Longvic,CHAR,30,2024
CODGEO,Code de la commune,21617,Talant,CHAR,30,2024
CODGEO,Code de la commune,22050,Dinan,CHAR,30,2024
CODGEO,Code de la commune,22113,Lannion,CHAR,30,2024
CODGEO,Code de la commune,22215,Ploufragan,CHAR,30,2024
CODGEO,Code de la commune,22278,Saint-Brieuc,CHAR,30,2024
CODGEO,Code de la commune,23096,Guéret,CHAR,30,2024
CODGEO,Code de la commune,24037,Bergerac,CHAR,30,2024
CODGEO,Code de la commune,24138,Coulounieix-Chamiers,CHAR,30,2024
CODGEO,Code de la commune,2413824322,"Coulounieix-Chamiers, Périgueux",CHAR,30,2024
CODGEO,Code de la commune,25031,Audincourt,CHAR,30,2024
CODGEO,Code de la commune,25056,Besançon,CHAR,30,2024
CODGEO,Code de la commune,25057,Bethoncourt,CHAR,30,2024
CODGEO,Code de la commune,25284,Grand-Charmont,CHAR,30,2024
CODGEO,Code de la commune,25388,Montbéliard,CHAR,30,2024
CODGEO,Code de la commune,25462,Pontarlier,CHAR,30,2024
CODGEO,Code de la commune,25547,Sochaux,CHAR,30,2024
CODGEO,Code de la commune,25580,Valentigney,CHAR,30,2024
CODGEO,Code de la commune,26166,Loriol-sur-Drôme,CHAR,30,2024
CODGEO,Code de la commune,26198,Montélimar,CHAR,30,2024
CODGEO,Code de la commune,26235,Pierrelatte,CHAR,30,2024
CODGEO,Code de la commune,26281,Romans-sur-Isère,CHAR,30,2024
CODGEO,Code de la commune,26325,Saint-Rambert-d'Albon,CHAR,30,2024
CODGEO,Code de la commune,26362,Valence,CHAR,30,2024
CODGEO,Code de la commune,27056,Bernay,CHAR,30,2024
CODGEO,Code de la commune,27229,Évreux,CHAR,30,2024
CODGEO,Code de la commune,27375,Louviers,CHAR,30,2024
CODGEO,Code de la commune,27467,Pont-Audemer,CHAR,30,2024
CODGEO,Code de la commune,27681,Vernon,CHAR,30,2024
CODGEO,Code de la commune,27701,Val-de-Reuil,CHAR,30,2024
CODGEO,Code de la commune,28085,Chartres,CHAR,30,2024
CODGEO,Code de la commune,28088,Châteaudun,CHAR,30,2024
CODGEO,Code de la commune,28134,Dreux,CHAR,30,2024
CODGEO,Code de la commune,2813428404,"Dreux, Vernouillet",CHAR,30,2024
CODGEO,Code de la commune,28218,Lucé,CHAR,30,2024
CODGEO,Code de la commune,28229,Mainvilliers,CHAR,30,2024
CODGEO,Code de la commune,28280,Nogent-le-Rotrou,CHAR,30,2024
CODGEO,Code de la commune,28404,Vernouillet,CHAR,30,2024
CODGEO,Code de la commune,29019,Brest,CHAR,30,2024
CODGEO,Code de la commune,29039,Concarneau,CHAR,30,2024
CODGEO,Code de la commune,29232,Quimper,CHAR,30,2024
CODGEO,Code de la commune,2A004,Ajaccio,CHAR,30,2024
CODGEO,Code de la commune,2A247,Porto-Vecchio,CHAR,30,2024
CODGEO,Code de la commune,2B033,Bastia,CHAR,30,2024
CODGEO,Code de la commune,30007,Alès,CHAR,30,2024
CODGEO,Code de la commune,30010,Anduze,CHAR,30,2024
CODGEO,Code de la commune,30028,Bagnols-sur-Cèze,CHAR,30,2024
CODGEO,Code de la commune,30032,Beaucaire,CHAR,30,2024
CODGEO,Code de la commune,30132,La Grand-Combe,CHAR,30,2024
CODGEO,Code de la commune,30189,Nîmes,CHAR,30,2024
CODGEO,Code de la commune,30202,Pont-Saint-Esprit,CHAR,30,2024
CODGEO,Code de la commune,30227,Saint-Ambroix,CHAR,30,2024
CODGEO,Code de la commune,30258,Saint-Gilles,CHAR,30,2024
CODGEO,Code de la commune,30334,Uzès,CHAR,30,2024
CODGEO,Code de la commune,30341,Vauvert,CHAR,30,2024
CODGEO,Code de la commune,31069,Blagnac,CHAR,30,2024
CODGEO,Code de la commune,31149,Colomiers,CHAR,30,2024
CODGEO,Code de la commune,31157,Cugnaux,CHAR,30,2024
CODGEO,Code de la commune,31395,Muret,CHAR,30,2024
CODGEO,Code de la commune,31483,Saint-Gaudens,CHAR,30,2024
CODGEO,Code de la commune,31555,Toulouse,CHAR,30,2024
CODGEO,Code de la commune,32013,Auch,CHAR,30,2024
CODGEO,Code de la commune,33032,Bassens,CHAR,30,2024
CODGEO,Code de la commune,33039,Bègles,CHAR,30,2024
CODGEO,Code de la commune,3303933063,"Bègles, Bordeaux",CHAR,30,2024
CODGEO,Code de la commune,33063,Bordeaux,CHAR,30,2024
CODGEO,Code de la commune,3306333119,"Bordeaux, Cenon",CHAR,30,2024
CODGEO,Code de la commune,3306933162,"Le Bouscat, Eysines",CHAR,30,2024
CODGEO,Code de la commune,3311933167,"Cenon, Floirac",CHAR,30,2024
CODGEO,Code de la commune,33138,Coutras,CHAR,30,2024
CODGEO,Code de la commune,33162,Eysines,CHAR,30,2024
CODGEO,Code de la commune,33167,Floirac,CHAR,30,2024
CODGEO,Code de la commune,33192,Gradignan,CHAR,30,2024
CODGEO,Code de la commune,33249,Lormont,CHAR,30,2024
CODGEO,Code de la commune,33281,Mérignac,CHAR,30,2024
CODGEO,Code de la commune,33318,Pessac,CHAR,30,2024
CODGEO,Code de la commune,3332433402,"Pineuilh, Sainte-Foy-la-Grande",CHAR,30,2024
CODGEO,Code de la commune,33522,Talence,CHAR,30,2024
CODGEO,Code de la commune,34003,Agde,CHAR,30,2024
CODGEO,Code de la commune,34028,Bédarieux,CHAR,30,2024
CODGEO,Code de la commune,34032,Béziers,CHAR,30,2024
CODGEO,Code de la commune,34108,Frontignan,CHAR,30,2024
CODGEO,Code de la commune,34142,Lodève,CHAR,30,2024
CODGEO,Code de la commune,34145,Lunel,CHAR,30,2024
CODGEO,Code de la commune,34172,Montpellier,CHAR,30,2024
CODGEO,Code de la commune,34301,Sète,CHAR,30,2024
CODGEO,Code de la commune,35236,Redon,CHAR,30,2024
CODGEO,Code de la commune,35238,Rennes,CHAR,30,2024
CODGEO,Code de la commune,35288,Saint-Malo,CHAR,30,2024
CODGEO,Code de la commune,36044,Châteauroux,CHAR,30,2024
CODGEO,Code de la commune,36088,Issoudun,CHAR,30,2024
CODGEO,Code de la commune,37003,Amboise,CHAR,30,2024
CODGEO,Code de la commune,37122,Joué-lès-Tours,CHAR,30,2024
CODGEO,Code de la commune,37195,La Riche,CHAR,30,2024
CODGEO,Code de la commune,37233,Saint-Pierre-des-Corps,CHAR,30,2024
CODGEO,Code de la commune,37261,Tours,CHAR,30,2024
CODGEO,Code de la commune,38053,Bourgoin-Jallieu,CHAR,30,2024
CODGEO,Code de la commune,38087,Chasse-sur-Rhône,CHAR,30,2024
CODGEO,Code de la commune,38097,Chavanoz,CHAR,30,2024
CODGEO,Code de la commune,38151,Échirolles,CHAR,30,2024
CODGEO,Code de la commune,38169,Fontaine,CHAR,30,2024
CODGEO,Code de la commune,38185,Grenoble,CHAR,30,2024
CODGEO,Code de la commune,38193,L'Isle-d'Abeau,CHAR,30,2024
CODGEO,Code de la commune,38298,Le Péage-de-Roussillon,CHAR,30,2024
CODGEO,Code de la commune,3829838344,"Le Péage-de-Roussillon, Roussillon",CHAR,30,2024
CODGEO,Code de la commune,38317,Le Pont-de-Claix,CHAR,30,2024
CODGEO,Code de la commune,38318,Pont-Évêque,CHAR,30,2024
CODGEO,Code de la commune,3831838544,"Pont-Évêque, Vienne",CHAR,30,2024
CODGEO,Code de la commune,38416,Saint-Marcellin,CHAR,30,2024
CODGEO,Code de la commune,38421,Saint-Martin-d'Hères,CHAR,30,2024
CODGEO,Code de la commune,38544,Vienne,CHAR,30,2024
CODGEO,Code de la commune,38553,Villefontaine,CHAR,30,2024
CODGEO,Code de la commune,38563,Voiron,CHAR,30,2024
CODGEO,Code de la commune,39198,Dole,CHAR,30,2024
CODGEO,Code de la commune,39300,Lons-le-Saunier,CHAR,30,2024
CODGEO,Code de la commune,39478,Saint-Claude,CHAR,30,2024
CODGEO,Code de la commune,40088,Dax,CHAR,30,2024
CODGEO,Code de la commune,40192,Mont-de-Marsan,CHAR,30,2024
CODGEO,Code de la commune,40281,Saint-Pierre-du-Mont,CHAR,30,2024
CODGEO,Code de la commune,41018,Blois,CHAR,30,2024
CODGEO,Code de la commune,41194,Romorantin-Lanthenay,CHAR,30,2024
CODGEO,Code de la commune,41269,Vendôme,CHAR,30,2024
CODGEO,Code de la commune,42005,Andrézieux-Bouthéon,CHAR,30,2024
CODGEO,Code de la commune,42044,Le Chambon-Feugerolles,CHAR,30,2024
CODGEO,Code de la commune,4204442183,"Le Chambon-Feugerolles, La Ricamarie",CHAR,30,2024
CODGEO,Code de la commune,4210342271,"La Grand-Croix, Saint-Paul-en-Jarez",CHAR,30,2024
CODGEO,Code de la commune,42147,Montbrison,CHAR,30,2024
CODGEO,Code de la commune,42183,La Ricamarie,CHAR,30,2024
CODGEO,Code de la commune,42186,Rive-de-Gier,CHAR,30,2024
CODGEO,Code de la commune,42187,Roanne,CHAR,30,2024
CODGEO,Code de la commune,42207,Saint-Chamond,CHAR,30,2024
CODGEO,Code de la commune,42218,Saint-Étienne,CHAR,30,2024
CODGEO,Code de la commune,43157,Le Puy-en-Velay,CHAR,30,2024
CODGEO,Code de la commune,44036,Châteaubriant,CHAR,30,2024
CODGEO,Code de la commune,44109,Nantes,CHAR,30,2024
CODGEO,Code de la commune,4410944162,"Nantes, Saint-Herblain",CHAR,30,2024
CODGEO,Code de la commune,44114,Orvault,CHAR,30,2024
CODGEO,Code de la commune,44143,Rezé,CHAR,30,2024
CODGEO,Code de la commune,44162,Saint-Herblain,CHAR,30,2024
CODGEO,Code de la commune,44184,Saint-Nazaire,CHAR,30,2024
CODGEO,Code de la commune,45068,Châlette-sur-Loing,CHAR,30,2024
CODGEO,Code de la commune,4506845208,"Châlette-sur-Loing, Montargis",CHAR,30,2024
CODGEO,Code de la commune,450684520845338,"Châlette-sur-Loing, Montargis, Villemandeur",CHAR,30,2024
CODGEO,Code de la commune,45147,Fleury-les-Aubrais,CHAR,30,2024
CODGEO,Code de la commune,45155,Gien,CHAR,30,2024
CODGEO,Code de la commune,45208,Montargis,CHAR,30,2024
CODGEO,Code de la commune,45234,Orléans,CHAR,30,2024
CODGEO,Code de la commune,45252,Pithiviers,CHAR,30,2024
CODGEO,Code de la commune,45284,Saint-Jean-de-Braye,CHAR,30,2024
CODGEO,Code de la commune,45285,Saint-Jean-de-la-Ruelle,CHAR,30,2024
CODGEO,Code de la commune,45315,Sully-sur-Loire,CHAR,30,2024
CODGEO,Code de la commune,46042,Cahors,CHAR,30,2024
CODGEO,Code de la commune,47001,Agen,CHAR,30,2024
CODGEO,Code de la commune,47157,Marmande,CHAR,30,2024
CODGEO,Code de la commune,47252,Sainte-Livrade-sur-Lot,CHAR,30,2024
CODGEO,Code de la commune,47310,Tonneins,CHAR,30,2024
CODGEO,Code de la commune,47323,Villeneuve-sur-Lot,CHAR,30,2024
CODGEO,Code de la commune,49007,Angers,CHAR,30,2024
CODGEO,Code de la commune,49099,Cholet,CHAR,30,2024
CODGEO,Code de la commune,49328,Saumur,CHAR,30,2024
CODGEO,Code de la commune,49353,Trélazé,CHAR,30,2024
CODGEO,Code de la commune,50025,Avranches,CHAR,30,2024
CODGEO,Code de la commune,50129,Cherbourg-en-Cotentin,CHAR,30,2024
CODGEO,Code de la commune,50147,Coutances,CHAR,30,2024
CODGEO,Code de la commune,50502,Saint-Lô,CHAR,30,2024
CODGEO,Code de la commune,51108,Châlons-en-Champagne,CHAR,30,2024
CODGEO,Code de la commune,51230,Épernay,CHAR,30,2024
CODGEO,Code de la commune,51454,Reims,CHAR,30,2024
CODGEO,Code de la commune,51649,Vitry-le-François,CHAR,30,2024
CODGEO,Code de la commune,52121,Chaumont,CHAR,30,2024
CODGEO,Code de la commune,52269,Langres,CHAR,30,2024
CODGEO,Code de la commune,52448,Saint-Dizier,CHAR,30,2024
CODGEO,Code de la commune,53130,Laval,CHAR,30,2024
CODGEO,Code de la commune,54115,Champigneulles,CHAR,30,2024
CODGEO,Code de la commune,54184,Essey-lès-Nancy,CHAR,30,2024
CODGEO,Code de la commune,54215,Frouard,CHAR,30,2024
CODGEO,Code de la commune,54261,Herserange,CHAR,30,2024
CODGEO,Code de la commune,54274,Jarville-la-Malgrange,CHAR,30,2024
CODGEO,Code de la commune,54304,Laxou,CHAR,30,2024
CODGEO,Code de la commune,5430454357,"Laxou, Maxéville",CHAR,30,2024
CODGEO,Code de la commune,54323,Longwy,CHAR,30,2024
CODGEO,Code de la commune,54329,Lunéville,CHAR,30,2024
CODGEO,Code de la commune,543395439554482,"Malzéville, Nancy, Saint-Max",CHAR,30,2024
CODGEO,Code de la commune,5435754395,"Maxéville, Nancy",CHAR,30,2024
CODGEO,Code de la commune,54382,Mont-Saint-Martin,CHAR,30,2024
CODGEO,Code de la commune,5439554547,"Nancy, Vandœuvre-lès-Nancy",CHAR,30,2024
CODGEO,Code de la commune,54431,Pont-à-Mousson,CHAR,30,2024
CODGEO,Code de la commune,54526,Tomblaine,CHAR,30,2024
CODGEO,Code de la commune,54528,Toul,CHAR,30,2024
CODGEO,Code de la commune,55029,Bar-le-Duc,CHAR,30,2024
CODGEO,Code de la commune,55545,Verdun,CHAR,30,2024
CODGEO,Code de la commune,56007,Auray,CHAR,30,2024
CODGEO,Code de la commune,56083,Hennebont,CHAR,30,2024
CODGEO,Code de la commune,56098,Lanester,CHAR,30,2024
CODGEO,Code de la commune,56121,Lorient,CHAR,30,2024
CODGEO,Code de la commune,56260,Vannes,CHAR,30,2024
CODGEO,Code de la commune,57058,Behren-lès-Forbach,CHAR,30,2024
CODGEO,Code de la commune,57160,Creutzwald,CHAR,30,2024
CODGEO,Code de la commune,57206,Fameck,CHAR,30,2024
CODGEO,Code de la commune,5722457690,"Folschviller, Valmont",CHAR,30,2024
CODGEO,Code de la commune,57227,Forbach,CHAR,30,2024
CODGEO,Code de la commune,5724057332,"Freyming-Merlebach, Hombourg-Haut",CHAR,30,2024
CODGEO,Code de la commune,57269,Guénange,CHAR,30,2024
CODGEO,Code de la commune,57332,Hombourg-Haut,CHAR,30,2024
CODGEO,Code de la commune,57463,Metz,CHAR,30,2024
CODGEO,Code de la commune,5746357751,"Metz, Woippy",CHAR,30,2024
CODGEO,Code de la commune,57606,Saint-Avold,CHAR,30,2024
CODGEO,Code de la commune,57630,Sarrebourg,CHAR,30,2024
CODGEO,Code de la commune,57631,Sarreguemines,CHAR,30,2024
CODGEO,Code de la commune,57672,Thionville,CHAR,30,2024
CODGEO,Code de la commune,57683,Uckange,CHAR,30,2024
CODGEO,Code de la commune,57757,Yutz,CHAR,30,2024
CODGEO,Code de la commune,58086,Cosne-Cours-sur-Loire,CHAR,30,2024
CODGEO,Code de la commune,58194,Nevers,CHAR,30,2024
CODGEO,Code de la commune,5900859024,"Aniche, Auberchicourt",CHAR,30,2024
CODGEO,Code de la commune,59009,Villeneuve-d'Ascq,CHAR,30,2024
CODGEO,Code de la commune,590095935059410,"Villeneuve-d'Ascq, Lille, Mons-en-Barœul",CHAR,30,2024
CODGEO,Code de la commune,59014,Anzin,CHAR,30,2024
CODGEO,Code de la commune,5901459079591125949159606,"Anzin, Beuvrages, Bruay-sur-l'Escaut, Raismes, Valenciennes",CHAR,30,2024
CODGEO,Code de la commune,59017,Armentières,CHAR,30,2024
CODGEO,Code de la commune,590245918559390,"Auberchicourt, Écaillon, Masny",CHAR,30,2024
CODGEO,Code de la commune,59028,Auby,CHAR,30,2024
CODGEO,Code de la commune,5902859509,"Auby, Roost-Warendin",CHAR,30,2024
CODGEO,Code de la commune,590645949159632,"Bellaing, Raismes, Wallers",CHAR,30,2024
CODGEO,Code de la commune,5911259207,"Bruay-sur-l'Escaut, Escautpont",CHAR,30,2024
CODGEO,Code de la commune,591125920759491,"Bruay-sur-l'Escaut, Escautpont, Raismes",CHAR,30,2024
CODGEO,Code de la commune,59122,Cambrai,CHAR,30,2024
CODGEO,Code de la commune,59139,Caudry,CHAR,30,2024
CODGEO,Code de la commune,59153,Condé-sur-l'Escaut,CHAR,30,2024
CODGEO,Code de la commune,59155,Coudekerque-Branche,CHAR,30,2024
CODGEO,Code de la commune,59163595125959959650,"Croix, Roubaix, Tourcoing, Wattrelos",CHAR,30,2024
CODGEO,Code de la commune,5916559178,"Cuincy, Douai",CHAR,30,2024
CODGEO,Code de la commune,591725917959361,"Denain, Douchy-les-Mines, Lourches",CHAR,30,2024
CODGEO,Code de la commune,591725920559361,"Denain, Escaudain, Lourches",CHAR,30,2024
CODGEO,Code de la commune,59178,Douai,CHAR,30,2024
CODGEO,Code de la commune,5917859234,"Douai, Flers-en-Escrebieux",CHAR,30,2024
CODGEO,Code de la commune,591785956959654,"Douai, Sin-le-Noble, Waziers",CHAR,30,2024
CODGEO,Code de la commune,5917859654,"Douai, Waziers",CHAR,30,2024
CODGEO,Code de la commune,59179,Douchy-les-Mines,CHAR,30,2024
CODGEO,Code de la commune,59183,Dunkerque,CHAR,30,2024
CODGEO,Code de la commune,59205,Escaudain,CHAR,30,2024
CODGEO,Code de la commune,592055936159504,"Escaudain, Lourches, Rœulx",CHAR,30,2024
CODGEO,Code de la commune,59220593465935059360,"Faches-Thumesnil, Lezennes, Lille, Loos",CHAR,30,2024
CODGEO,Code de la commune,59225,Feignies,CHAR,30,2024
CODGEO,Code de la commune,59230,Ferrière-la-Grande,CHAR,30,2024
CODGEO,Code de la commune,59249,Fourmies,CHAR,30,2024
CODGEO,Code de la commune,59253,Fresnes-sur-Escaut,CHAR,30,2024
CODGEO,Code de la commune,59271,Grande-Synthe,CHAR,30,2024
CODGEO,Code de la commune,59291,Hautmont,CHAR,30,2024
